UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=12.354#pm0.054, #Delta#sigma_{MC,Data}=-2.214#pm0.011
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.011#pm0.020, #Delta#sigma_{MC,Data}=0.027#pm0.014
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.005#pm0.051, #Delta#sigma_{MC,Data}=-0.101#pm0.028
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.487#pm0.069, #Delta#sigma_{MC,Data}=-0.076#pm0.042
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=12.354#pm0.054, #Delta#sigma_{MC,Data}=-2.214#pm0.011
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.006#pm0.018, #Delta#sigma_{MC,Data}=0.036#pm0.012
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.100#pm0.059, #Delta#sigma_{MC,Data}=-0.020#pm0.032
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.029#pm0.078, #Delta#sigma_{MC,Data}=-0.034#pm0.043
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=-1.550#pm0.003, #Delta#sigma_{MC,Data}=-0.113#pm0.001
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.033#pm0.032, #Delta#sigma_{MC,Data}=0.058#pm0.022
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.144#pm0.082, #Delta#sigma_{MC,Data}=-0.229#pm0.048
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.458#pm0.099, #Delta#sigma_{MC,Data}=-0.507#pm0.060
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.550#pm0.003, #Delta#sigma_{MC,Data}=-0.113#pm0.001
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.035#pm0.033, #Delta#sigma_{MC,Data}=0.078#pm0.021
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.230#pm0.086, #Delta#sigma_{MC,Data}=-0.115#pm0.051
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.193#pm0.099, #Delta#sigma_{MC,Data}=-0.159#pm0.066
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.715#pm0.007, #Delta#sigma_{MC,Data}=0.355#pm0.004
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.070#pm0.062, #Delta#sigma_{MC,Data}=-0.009#pm0.047
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.148#pm0.164, #Delta#sigma_{MC,Data}=-0.754#pm0.103
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.899#pm0.232, #Delta#sigma_{MC,Data}=-1.498#pm0.156
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.715#pm0.007, #Delta#sigma_{MC,Data}=0.355#pm0.004
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.097#pm0.058, #Delta#sigma_{MC,Data}=0.009#pm0.042
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.264#pm0.156, #Delta#sigma_{MC,Data}=-0.187#pm0.094
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.202#pm0.196, #Delta#sigma_{MC,Data}=-0.347#pm0.122
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.294#pm0.009, #Delta#sigma_{MC,Data}=0.570#pm0.005
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.137#pm0.086, #Delta#sigma_{MC,Data}=0.025#pm0.062
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.261#pm0.215, #Delta#sigma_{MC,Data}=-1.623#pm0.145
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.867#pm0.310, #Delta#sigma_{MC,Data}=-3.194#pm0.211
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.294#pm0.009, #Delta#sigma_{MC,Data}=0.570#pm0.005
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.172#pm0.075, #Delta#sigma_{MC,Data}=-0.018#pm0.053
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.415#pm0.197, #Delta#sigma_{MC,Data}=-0.322#pm0.125
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.637#pm0.236, #Delta#sigma_{MC,Data}=-0.770#pm0.161
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=1.622#pm0.009, #Delta#sigma_{MC,Data}=1.170#pm0.005
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.604#pm0.146, #Delta#sigma_{MC,Data}=-0.314#pm0.103
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-1.323#pm0.338, #Delta#sigma_{MC,Data}=-2.563#pm0.222
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.135#pm0.472, #Delta#sigma_{MC,Data}=-4.860#pm0.345
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=1.622#pm0.009, #Delta#sigma_{MC,Data}=1.170#pm0.005
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.146#pm0.113, #Delta#sigma_{MC,Data}=0.090#pm0.088
